Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAR-2026|AADI|EQUITY|7786891760|11275|123077860|5003380769|16269869|41|1719079364|127157720|5368031|2271040|95275|6996699969|1150700|59050033|61545583|263982565|1315405|320639983|15285319|2493100|64729103|790191791
31-MAR-2026|AALI|EQUITY|1924688333|7550|64796516|27845398|5387118|49700|134279656|7447833|49828|3795112|4742927|248394088|979200|14028977|27953431|19352778|1328552|42604025|23155601|190500|12809941|142403005
31-MAR-2026|ABBA|EQUITY|3935892857|42|0|2368118705|0|0|1065066148|0|423|71|0|3433185347|0|1300000|0|41020085|396600|0|1754300|0|0|44470985
31-MAR-2026|ABDA|EQUITY|620806680|2600|0|44448|0|98|482857|0|7575|440734|20|975732|538555304|21730234|0|28003600|900|0|30503300|0|0|618793338
31-MAR-2026|ABMM|EQUITY|2753165000|3110|1847600|1494532433|86000|0|419241500|420000|1372918|0|0|1917500451|0|804622179|3778209|7586549|194400|10204167|3585709|0|5693336|835664549
31-MAR-2026|ACES|EQUITY|17120389700|378|409082200|10905988500|97722800|6200000|2507717691|440126053|62372595|17684714|1092800|14447987353|0|136776463|178673999|681258602|5669800|847917736|61420473|0|760585274|2672302347
31-MAR-2026|ACRO|EQUITY|3469345537|70|0|29700|0|0|3348313435|0|102|0|0|3348343237|0|0|0|13146100|107750900|0|105300|0|0|121002300
31-MAR-2026|ACST|EQUITY|17675160000|107|0|16221378335|0|0|1431805280|0|1091|0|80|17653184786|0|140|0|8976344|11191435|0|1807295|0|0|21975214
31-MAR-2026|ADCP|EQUITY|22222222200|50|0|450680900|1200000|0|1594595600|0|1558700|900|147078400|2195114500|0|0|0|22117600|4776100|0|214000|0|0|27107700
31-MAR-2026|ADES|EQUITY|589896800|16525|0|3141600|0|350|41884777|0|471|0|0|45027198|0|539011710|60300|4132664|115400|111500|433600|0|316000|544181174
31-MAR-2026|ADHI|EQUITY|8407608979|195|23086079|324351873|44278904|3000000|2240758511|720502|251427773|15300335|985047|2903909024|0|3753746|6188100|24862925|26458346|19713858|4908305|0|9030883|94916163
31-MAR-2026|ADMF|EQUITY|1235803109|8400|5082393|727788|106600|930516154|43163996|7568700|150214|71|0|987315916|0|185747|361305|234308414|4130018|1033400|8359709|8600|0|248387193
31-MAR-2026|ADMG|EQUITY|3889179559|206|1030000|1399506693|2290400|0|502207787|83|450027|0|0|1905484990|0|62|0|7367228|2632300|0|4371796|0|1925414417|1939785803
